Listing Title,Category,City,County,State,Country,Short Description,Full Description,Address,Phone,Email,Website,Price,Schedule / Hours,Senior Discount,Dementia-Friendly?,Caregiver-Friendly?,Wheelchair Accessible?,Transportation Available?,Tags,Slug,Source URL,Last Updated
Hawaii Meals on Wheels,Caregiver Support,Honolulu,Honolulu County,Hawaii,USA,"Oahu nonprofit providing home-delivered meals, wellness checks, and support for homebound older adults and people with disabilities.","Hawaii Meals on Wheels supports homebound older adults and people with disabilities through nutritious home-delivered meals and wellness connection. Seniors and caregivers should confirm eligibility, service area, meal options, costs, delivery schedule, and application steps before applying.","2728 Huapala Street, Suite 209, Honolulu, HI 96822",808-988-6747,Not listed,https://hmow.org/,Fees or donations may vary; confirm current meal costs and eligibility.,Check website or call for current application and delivery information.,Not listed,Not listed,Yes,Not listed,Yes,"Hawaii Meals on Wheels, Honolulu, home-delivered meals, caregiver support, homebound seniors",hawaii-meals-on-wheels-honolulu,https://hmow.org/,2026-05-10
Lanakila Meals on Wheels,Caregiver Support,Honolulu,Honolulu County,Hawaii,USA,Oahu meal delivery program supporting older adults and people with disabilities with nutrition and wellness connection.,"Lanakila Meals on Wheels helps older adults and people with disabilities access nutritious meals and wellness support on Oahu. Seniors and caregivers should confirm eligibility, service area, meal delivery schedule, costs, application steps, and current availability before applying.","1809 Bachelot Street, Honolulu, HI 96817",808-531-0555,Not listed,https://www.lanakilapacific.org/meals-on-wheels/,Fees or donations may vary; confirm current details before applying.,Check website or call for current delivery schedule and eligibility.,Not listed,Not listed,Yes,Not listed,Yes,"Lanakila Meals on Wheels, Oahu, meal delivery, older adults, caregiver support, nutrition",lanakila-meals-on-wheels-hawaii,https://www.lanakilapacific.org/meals-on-wheels/,2026-05-10
Project Dana,Caregiver Support,Honolulu,Honolulu County,Hawaii,USA,Hawaii volunteer caregiving program supporting frail elderly adults and caregivers with compassionate assistance and community-based help.,"Project Dana is a volunteer caregiving program in Hawaii that supports frail elderly adults and caregivers through compassionate assistance and community-based help. Seniors and families should confirm eligibility, service area, volunteer availability, referral process, and current services before applying.","902 University Avenue, Honolulu, HI 96826",808-945-3736,Not listed,https://www.projectdana.org/,Not listed,"Call or check website for current services, referrals, and volunteer availability.",Not listed,Not listed,Yes,Not listed,Yes,"Project Dana, Hawaii caregiver support, frail elderly, volunteer caregiving, Honolulu",project-dana-caregiver-support-hawaii,https://www.projectdana.org/,2026-05-10
PABEA Senior Wellness Program,Senior-Friendly Event,Honolulu,Honolulu County,Hawaii,USA,"Honolulu senior wellness nonprofit offering cultural, wellness, educational, and community programs for older adults.","PABEA supports older adults through wellness, cultural, educational, and community programs. Seniors should confirm current classes, membership, schedules, fees, location, accessibility, and program availability before attending.","Honolulu, HI",Not listed,Not listed,https://www.pabea.org/,Fees vary by program or membership; confirm before registering.,"Check website for current programs, wellness activities, and events.",Not listed,Not listed,Not listed,Not listed,Not listed,"PABEA, Honolulu, senior wellness, older adults, cultural programs, community activities",pabea-senior-wellness-program-hawaii,https://www.pabea.org/,2026-05-10
Kokua Kalihi Valley Elder Programs,Caregiver Support,Honolulu,Honolulu County,Hawaii,USA,"Honolulu community health organization supporting kūpuna with culturally grounded health, wellness, and social support programs.","Kokua Kalihi Valley supports kūpuna and families through community health, wellness, culturally grounded programming, and social support. Seniors and caregivers should confirm current programs, eligibility, appointments, locations, and language support before participating.","2239 N School Street, Honolulu, HI 96819",808-791-9400,Not listed,https://www.kkv.net/,Not listed,Check website or call for current kūpuna and community health programs.,Not listed,Not listed,Yes,Not listed,Yes,"Kokua Kalihi Valley, Honolulu, kūpuna, caregiver support, community health, wellness",kokua-kalihi-valley-elder-programs,https://www.kkv.net/,2026-05-10
Waianae Coast Comprehensive Health Center Senior Support,Caregiver Support,Waianae,Honolulu County,Hawaii,USA,"West Oahu community health center offering health, wellness, and support resources for older adults and families.","Waianae Coast Comprehensive Health Center supports West Oahu residents with health care, wellness, outreach, and community support resources that may help older adults and caregivers. Seniors should confirm current programs, eligibility, appointments, transportation support, and service availability before visiting.","86-260 Farrington Highway, Waianae, HI 96792",808-697-3300,Not listed,https://www.wcchc.com/,Insurance and program costs vary; confirm before scheduling.,Call or check website for current services and appointments.,Not listed,Not listed,Yes,Not listed,Yes,"Waianae, West Oahu, community health center, caregiver support, older adults, wellness",waianae-coast-comprehensive-health-center-senior-support,https://www.wcchc.com/,2026-05-10
Hawaii State Library Senior-Friendly Visit,Senior-Friendly Event,Honolulu,Honolulu County,Hawaii,USA,"Honolulu library and statewide library resource offering books, programs, technology access, cultural learning, and senior-friendly community services.","Hawaii State Library and Hawaii’s public library system can support older adults with books, technology access, cultural learning, research help, programs, and community resources. Seniors should confirm current hours, accessibility, events, parking, and branch services before visiting.","478 S King Street, Honolulu, HI 96813",808-586-3500,Not listed,https://www.librarieshawaii.org/,Free public library services; some events may require registration.,"Check website for current hours, events, and branch services.",Not listed,Not listed,Not listed,Yes,Not listed,"Hawaii State Library, senior-friendly activity, books, technology, Honolulu, community programs",hawaii-state-library-senior-friendly-visit,https://www.librarieshawaii.org/,2026-05-10
Foster Botanical Garden Senior-Friendly Visit,Senior Travel & Tours,Honolulu,Honolulu County,Hawaii,USA,"Honolulu botanical garden offering walking paths, tropical plants, cultural history, accessibility information, and peaceful senior-friendly activities.","Foster Botanical Garden offers tropical plant collections, walking paths, cultural history, and peaceful outdoor experiences in Honolulu. Older adults should confirm current admission, senior discounts if available, accessibility, parking, hours, weather conditions, and walking distances before visiting.","50 N Vineyard Boulevard, Honolulu, HI 96817",808-768-7135,Not listed,https://www.honolulu.gov/parks/hbg/foster-botanical-garden.html,Confirm current admission and discount details before visiting.,"Check website for current hours, accessibility, tours, and parking details.",Yes,Not listed,Not listed,Not listed,Yes,"Honolulu, Foster Botanical Garden, senior travel, botanical garden, walking paths, Oahu",foster-botanical-garden-senior-friendly-visit,https://www.honolulu.gov/parks/hbg/foster-botanical-garden.html,2026-05-10
Ho'omaluhia Botanical Garden Senior-Friendly Visit,Senior Travel & Tours,Kaneohe,Honolulu County,Hawaii,USA,"Kaneohe botanical garden offering scenic views, peaceful walking areas, nature programs, lake views, and senior-friendly outdoor activities.","Ho'omaluhia Botanical Garden offers scenic mountain views, peaceful garden areas, walking routes, lake views, and nature experiences in Kaneohe. Older adults should confirm current hours, accessibility, parking, weather conditions, walking distances, and visitor rules before visiting.","45-680 Luluku Road, Kaneohe, HI 96744",808-233-7323,Not listed,https://www.honolulu.gov/parks/hbg/ho-omaluhia-botanical-garden.html,Free admission generally listed; confirm current details before visiting.,"Check website for current hours, accessibility, and visitor rules.",Yes,Not listed,Not listed,Not listed,Yes,"Kaneohe, Ho'omaluhia Botanical Garden, senior travel, scenic garden, Oahu, walking",hoomaluhia-botanical-garden-senior-friendly-visit,https://www.honolulu.gov/parks/hbg/ho-omaluhia-botanical-garden.html,2026-05-10
Queen Emma Summer Palace,Senior Discount,Honolulu,Honolulu County,Hawaii,USA,"Honolulu historic home museum offering Hawaiian history, cultural tours, accessibility information, and senior-friendly visitor experiences.","Queen Emma Summer Palace is a historic home museum connected to Hawaiian royal history. Older adults should confirm current admission, senior discounts if available, accessibility, parking, tour options, hours, and mobility needs before visiting.","2913 Pali Highway, Honolulu, HI 96817",808-595-3167,Not listed,https://daughtersofhawaii.org/,Confirm current admission and discount options before visiting.,"Check website for current hours, tours, events, and visitor details.",Yes,Not listed,Not listed,Not listed,Not listed,"Honolulu, Queen Emma Summer Palace, senior activity, Hawaiian history, museum, culture",queen-emma-summer-palace-senior-discount,https://daughtersofhawaii.org/,2026-05-10
Lyman Museum,Senior Discount,Hilo,Hawaii County,Hawaii,USA,"Hilo museum offering Hawaii Island history, natural history, cultural exhibits, accessibility information, and senior-friendly activities.","Lyman Museum in Hilo offers exhibits about Hawaii Island history, natural history, culture, and community stories. Older adults should confirm current admission, senior discounts if available, accessibility, parking, hours, exhibits, and ticket policies before visiting.","276 Haili Street, Hilo, HI 96720",808-935-5021,Not listed,https://lymanmuseum.org/visit/,Confirm current admission and discount details before visiting.,"Check website for current hours, exhibits, tickets, and accessibility.",Yes,Not listed,Not listed,Not listed,Not listed,"Hilo, Lyman Museum, senior activity, Hawaii Island history, natural history, culture",lyman-museum-senior-discount-hilo,https://lymanmuseum.org/visit/,2026-05-10
